Timestamp=2025-07-19 23:20:52; Identity=alice@example.com; Device=WIN11-LAPTOP01; InternalIP=10.218.154.32; ExternalIP=89.148.67.74; Action=Blocked; Domain=portal.zntkbgsubt.dev; QType=AAAA; RCode=NOERROR
Timestamp=2025-07-20 02:31:04; Identity=diana@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.162.231.248; ExternalIP=214.79.130.95; Action=Allowed; Domain=repo.yqvkixt.com; QType=SOA; RCode=NXDOMAIN
Timestamp=2025-07-20 02:43:05; Identity=diana@example.com; Device=LINUX-WS01; InternalIP=10.47.103.140; ExternalIP=193.11.47.60; Action=Blocked; Domain=www.akhehfhfnh.io; QType=TXT; RCode=REFUSED
Timestamp=2025-07-20 02:47:46; Identity=alice@example.com; Device=WIN11-LAPTOP01; InternalIP=10.63.204.87; ExternalIP=87.188.57.7; Action=Allowed; Domain=www.uixfg.com; QType=NS; RCode=NOERROR
Timestamp=2025-07-20 02:52:41; Identity=alice@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.240.155.221; ExternalIP=191.44.81.152; Action=Blocked; Domain=updates.nptxywluy.io; QType=PTR; RCode=REFUSED
Timestamp=2025-07-20 02:53:32; Identity=alice@example.com; Device=MACBOOK-PRO; InternalIP=10.126.86.185; ExternalIP=33.79.53.254; Action=Allowed; Domain=vpn.wwrwsy.io; QType=A; RCode=NOERROR
Timestamp=2025-07-20 02:55:28; Identity=alice@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.35.210.49; ExternalIP=127.220.214.26; Action=Allowed; Domain=cdn.ydrekkdh.info; QType=TXT; RCode=FORMERR
Timestamp=2025-07-20 03:01:30; Identity=alice@example.com; Device=LINUX-WS01; InternalIP=10.120.223.204; ExternalIP=140.180.228.83; Action=Allowed; Domain=repo.mitdle.net; QType=SOA; RCode=NXDOMAIN
Timestamp=2025-07-20 03:11:15; Identity=charlie@corp.local; Device=LINUX-WS01; InternalIP=10.204.125.150; ExternalIP=45.180.142.245; Action=Blocked; Domain=portal.aeplxpuik.info; QType=NS; RCode=REFUSED
Timestamp=2025-07-20 03:13:47; Identity=diana@example.com; Device=WIN11-LAPTOP01; InternalIP=10.64.105.182; ExternalIP=120.189.0.15; Action=Allowed; Domain=login.vgzrgjm.co; QType=CAA; RCode=FORMERR
Timestamp=2025-07-20 03:16:55; Identity=alice@example.com; Device=LINUX-WS01; InternalIP=10.217.222.83; ExternalIP=43.77.58.106; Action=Allowed; Domain=updates.eoawfqqa.io; QType=PTR; RCode=FORMERR
Timestamp=2025-07-20 03:37:42; Identity=diana@example.com; Device=LINUX-WS01; InternalIP=10.33.61.239; ExternalIP=160.244.247.154; Action=Blocked; Domain=login.lgrwtxui.io; QType=CAA; RCode=FORMERR
Timestamp=2025-07-20 03:44:59; Identity=charlie@corp.local; Device=MACBOOK-PRO; InternalIP=10.198.47.180; ExternalIP=110.201.91.150; Action=Blocked; Domain=vpn.mvcug.co; QType=A; RCode=NOERROR
Timestamp=2025-07-20 04:02:39; Identity=alice@corp.local; Device=LINUX-WS01; InternalIP=10.70.17.70; ExternalIP=213.157.28.183; Action=Allowed; Domain=updates.duhdsfyaf.io; QType=AAAA; RCode=NOERROR
Timestamp=2025-07-20 04:04:54; Identity=charlie@corp.local; Device=MACBOOK-PRO; InternalIP=10.97.98.185; ExternalIP=77.65.153.14; Action=Blocked; Domain=assets.denpirdgxw.info; QType=TXT; RCode=NXDOMAIN
Timestamp=2025-07-20 04:10:19; Identity=alice@example.com; Device=LINUX-WS01; InternalIP=10.64.21.64; ExternalIP=34.255.173.232; Action=Blocked; Domain=portal.ipdqh.org; QType=MX; RCode=NOERROR
Timestamp=2025-07-20 04:14:21; Identity=diana@corp.local; Device=LINUX-WS01; InternalIP=10.56.212.163; ExternalIP=113.100.216.50; Action=Blocked; Domain=login.hwxpuezwf.dev; QType=SOA; RCode=NXDOMAIN
Timestamp=2025-07-20 04:27:38; Identity=diana@corp.local; Device=LINUX-WS01; InternalIP=10.66.236.8; ExternalIP=41.184.145.183; Action=Allowed; Domain=mail.xrwtysiyzi.org; QType=MX; RCode=NXDOMAIN
Timestamp=2025-07-20 04:39:28; Identity=bob@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.151.210.253; ExternalIP=16.125.252.11; Action=Allowed; Domain=assets.lfjwcjnxn.net; QType=MX; RCode=FORMERR
Timestamp=2025-07-20 04:40:43; Identity=charlie@corp.local; Device=MACBOOK-PRO; InternalIP=10.29.85.112; ExternalIP=56.90.68.188; Action=Blocked; Domain=cdn.lztbkudnp.io; QType=MX; RCode=REFUSED
Timestamp=2025-07-20 04:43:44; Identity=bob@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.246.227.9; ExternalIP=50.14.230.221; Action=Blocked; Domain=mail.jarlopj.biz; QType=PTR; RCode=NXDOMAIN
Timestamp=2025-07-20 04:45:58; Identity=diana@example.com; Device=LINUX-WS01; InternalIP=10.149.58.254; ExternalIP=111.215.237.159; Action=Blocked; Domain=portal.rleqqzv.org; QType=SRV; RCode=NOERROR
Timestamp=2025-07-20 04:53:26; Identity=charlie@example.com; Device=WIN11-LAPTOP01; InternalIP=10.168.163.119; ExternalIP=217.162.187.31; Action=Blocked; Domain=repo.uzcpnmklph.dev; QType=CAA; RCode=REFUSED
Timestamp=2025-07-20 04:59:21; Identity=bob@example.com; Device=MACBOOK-PRO; InternalIP=10.194.161.211; ExternalIP=212.130.206.63; Action=Allowed; Domain=auth.zkitqbmi.com; QType=CAA; RCode=REFUSED
Timestamp=2025-07-20 05:09:03; Identity=diana@example.com; Device=LINUX-WS01; InternalIP=10.20.171.148; ExternalIP=93.223.34.25; Action=Allowed; Domain=portal.pfvxsnwcoo.dev; QType=MX; RCode=FORMERR
Timestamp=2025-07-20 05:22:22; Identity=charlie@example.com; Device=WIN11-LAPTOP01; InternalIP=10.173.169.21; ExternalIP=210.127.82.110; Action=Allowed; Domain=api.msueqbhee.io; QType=TXT; RCode=REFUSED
Timestamp=2025-07-20 05:27:08; Identity=diana@example.com; Device=WIN11-LAPTOP01; InternalIP=10.159.244.123; ExternalIP=132.175.75.243; Action=Blocked; Domain=www.ecqbtu.info; QType=SOA; RCode=FORMERR
Timestamp=2025-07-20 05:35:28; Identity=alice@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.5.131.107; ExternalIP=118.203.100.41; Action=Blocked; Domain=assets.xonmoviv.net; QType=TXT; RCode=FORMERR
Timestamp=2025-07-20 05:47:34; Identity=charlie@example.com; Device=LINUX-WS01; InternalIP=10.49.236.4; ExternalIP=44.189.194.185; Action=Blocked; Domain=cdn.uelrmr.biz; QType=AAAA; RCode=NXDOMAIN
Timestamp=2025-07-20 05:54:24; Identity=charlie@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.4.217.174; ExternalIP=192.122.51.238; Action=Blocked; Domain=auth.sonpr.info; QType=TXT; RCode=NOERROR
Timestamp=2025-07-20 05:55:47; Identity=charlie@corp.local; Device=MACBOOK-PRO; InternalIP=10.115.246.158; ExternalIP=56.83.33.70; Action=Blocked; Domain=www.biyhhkacc.biz; QType=TXT; RCode=REFUSED
Timestamp=2025-07-20 06:08:01; Identity=diana@example.com; Device=LINUX-WS01; InternalIP=10.228.187.157; ExternalIP=39.133.40.205; Action=Blocked; Domain=auth.ltxajpux.com; QType=CAA; RCode=NXDOMAIN
Timestamp=2025-07-20 06:20:34; Identity=bob@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.86.156.56; ExternalIP=39.5.199.55; Action=Allowed; Domain=auth.sifdvq.org; QType=AAAA; RCode=REFUSED
Timestamp=2025-07-20 06:22:15; Identity=diana@corp.local; Device=MACBOOK-PRO; InternalIP=10.204.76.205; ExternalIP=184.44.173.115; Action=Blocked; Domain=cdn.ckmjocv.co; QType=CAA; RCode=NOERROR
Timestamp=2025-07-20 06:26:42; Identity=diana@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.177.86.193; ExternalIP=165.21.213.203; Action=Blocked; Domain=login.cgjusv.xyz; QType=PTR; RCode=NOERROR
Timestamp=2025-07-20 06:27:01; Identity=charlie@corp.local; Device=LINUX-WS01; InternalIP=10.245.134.134; ExternalIP=102.180.209.166; Action=Blocked; Domain=vpn.rxbum.info; QType=TXT; RCode=FORMERR
Timestamp=2025-07-20 06:29:31; Identity=diana@example.com; Device=LINUX-WS01; InternalIP=10.221.91.178; ExternalIP=19.218.14.98; Action=Blocked; Domain=www.yhojc.dev; QType=PTR; RCode=REFUSED
Timestamp=2025-07-20 06:31:22; Identity=bob@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.62.115.210; ExternalIP=207.57.105.4; Action=Blocked; Domain=vpn.awrjpqzi.info; QType=MX; RCode=FORMERR
Timestamp=2025-07-20 06:31:39; Identity=bob@example.com; Device=LINUX-WS01; InternalIP=10.237.44.131; ExternalIP=60.62.160.116; Action=Allowed; Domain=status.djfyq.org; QType=SRV; RCode=FORMERR
Timestamp=2025-07-20 06:36:53; Identity=charlie@example.com; Device=LINUX-WS01; InternalIP=10.177.84.33; ExternalIP=171.11.133.62; Action=Blocked; Domain=api.pvhwg.info; QType=NS; RCode=NOERROR
Timestamp=2025-07-20 06:37:09; Identity=bob@corp.local; Device=LINUX-WS01; InternalIP=10.182.57.46; ExternalIP=166.19.54.94; Action=Allowed; Domain=login.dbckq.xyz; QType=NS; RCode=REFUSED
Timestamp=2025-07-20 06:46:50; Identity=diana@example.com; Device=WIN11-LAPTOP01; InternalIP=10.228.13.71; ExternalIP=43.76.152.83; Action=Blocked; Domain=api.zxlifmrxoc.org; QType=CAA; RCode=SERVFAIL
Timestamp=2025-07-20 06:57:57; Identity=charlie@example.com; Device=MACBOOK-PRO; InternalIP=10.69.203.144; ExternalIP=78.16.235.246; Action=Blocked; Domain=secure.nnkudatduu.biz; QType=SOA; RCode=NOERROR
Timestamp=2025-07-20 06:59:27; Identity=charlie@example.com; Device=LINUX-WS01; InternalIP=10.212.244.17; ExternalIP=71.219.179.141; Action=Blocked; Domain=secure.hlanmygfxf.net; QType=SOA; RCode=SERVFAIL
Timestamp=2025-07-20 07:21:09; Identity=bob@example.com; Device=WIN11-LAPTOP01; InternalIP=10.245.196.244; ExternalIP=163.226.28.100; Action=Blocked; Domain=secure.fhjfrfrjwg.co; QType=TXT; RCode=SERVFAIL
Timestamp=2025-07-20 07:24:39; Identity=alice@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.53.198.171; ExternalIP=134.147.79.173; Action=Allowed; Domain=assets.fyqrb.com; QType=TXT; RCode=SERVFAIL
Timestamp=2025-07-20 07:25:26; Identity=bob@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.208.32.80; ExternalIP=153.2.17.156; Action=Blocked; Domain=vpn.mnrcjenb.biz; QType=SRV; RCode=NXDOMAIN
Timestamp=2025-07-20 07:26:48; Identity=charlie@example.com; Device=MACBOOK-PRO; InternalIP=10.215.165.37; ExternalIP=127.99.135.207; Action=Blocked; Domain=mail.zvikdfhdi.co; QType=TXT; RCode=NOERROR
Timestamp=2025-07-20 07:27:30; Identity=charlie@corp.local; Device=LINUX-WS01; InternalIP=10.56.213.235; ExternalIP=114.204.109.36; Action=Blocked; Domain=secure.mdnuid.xyz; QType=CAA; RCode=SERVFAIL
Timestamp=2025-07-20 07:54:26; Identity=alice@example.com; Device=LINUX-WS01; InternalIP=10.103.151.186; ExternalIP=22.20.101.21; Action=Allowed; Domain=www.bvkjq.dev; QType=PTR; RCode=NOERROR
Timestamp=2025-07-20 07:56:24; Identity=bob@example.com; Device=LINUX-WS01; InternalIP=10.202.192.33; ExternalIP=43.145.88.147; Action=Blocked; Domain=portal.iqoharnc.info; QType=MX; RCode=FORMERR
Timestamp=2025-07-20 07:57:14; Identity=bob@example.com; Device=WIN11-LAPTOP01; InternalIP=10.91.2.111; ExternalIP=58.140.179.139; Action=Allowed; Domain=auth.iupzwwvaqr.co; QType=CAA; RCode=REFUSED
Timestamp=2025-07-20 08:06:59; Identity=bob@example.com; Device=WIN11-LAPTOP01; InternalIP=10.192.75.106; ExternalIP=165.0.52.107; Action=Allowed; Domain=status.vxkhwdg.io; QType=SOA; RCode=FORMERR
Timestamp=2025-07-20 08:14:17; Identity=charlie@corp.local; Device=LINUX-WS01; InternalIP=10.38.62.71; ExternalIP=175.81.186.117; Action=Allowed; Domain=www.qukqaeamtr.com; QType=NS; RCode=SERVFAIL
Timestamp=2025-07-20 08:37:37; Identity=alice@corp.local; Device=LINUX-WS01; InternalIP=10.195.102.15; ExternalIP=208.181.76.150; Action=Blocked; Domain=cdn.janpuwhyk.xyz; QType=CAA; RCode=FORMERR
Timestamp=2025-07-20 08:40:24; Identity=charlie@example.com; Device=WIN11-LAPTOP01; InternalIP=10.164.248.221; ExternalIP=148.243.44.189; Action=Allowed; Domain=api.capkrwagv.org; QType=NS; RCode=NOERROR
Timestamp=2025-07-20 08:54:07; Identity=alice@example.com; Device=WIN11-LAPTOP01; InternalIP=10.174.183.146; ExternalIP=181.120.96.210; Action=Blocked; Domain=status.jibtwvny.io; QType=CAA; RCode=FORMERR
Timestamp=2025-07-20 09:17:52; Identity=bob@example.com; Device=LINUX-WS01; InternalIP=10.231.127.19; ExternalIP=113.219.250.111; Action=Blocked; Domain=status.cqmjbrrpxf.org; QType=TXT; RCode=NOERROR
Timestamp=2025-07-20 09:29:11; Identity=bob@corp.local; Device=LINUX-WS01; InternalIP=10.217.108.83; ExternalIP=135.129.149.169; Action=Allowed; Domain=cdn.indwkrw.org; QType=SOA; RCode=NXDOMAIN
Timestamp=2025-07-20 09:36:04; Identity=bob@corp.local; Device=MACBOOK-PRO; InternalIP=10.54.162.137; ExternalIP=200.102.143.197; Action=Blocked; Domain=auth.phlwink.com; QType=A; RCode=REFUSED
Timestamp=2025-07-20 09:38:51; Identity=diana@example.com; Device=WIN11-LAPTOP01; InternalIP=10.79.170.214; ExternalIP=64.236.185.97; Action=Allowed; Domain=api.acydftfp.xyz; QType=CAA; RCode=SERVFAIL
Timestamp=2025-07-20 09:51:34; Identity=diana@corp.local; Device=LINUX-WS01; InternalIP=10.90.142.24; ExternalIP=37.165.151.255; Action=Blocked; Domain=vpn.ocbscf.net; QType=NS; RCode=NOERROR
Timestamp=2025-07-20 09:58:17; Identity=bob@corp.local; Device=MACBOOK-PRO; InternalIP=10.18.100.106; ExternalIP=201.37.58.107; Action=Blocked; Domain=mail.lcdhbne.io; QType=A; RCode=NOERROR
Timestamp=2025-07-20 10:03:34; Identity=alice@example.com; Device=MACBOOK-PRO; InternalIP=10.72.228.204; ExternalIP=55.123.149.71; Action=Blocked; Domain=repo.ufmjsiaips.com; QType=AAAA; RCode=NOERROR
Timestamp=2025-07-20 10:15:48; Identity=bob@corp.local; Device=MACBOOK-PRO; InternalIP=10.200.68.48; ExternalIP=18.165.71.238; Action=Allowed; Domain=repo.uwnej.io; QType=PTR; RCode=REFUSED
Timestamp=2025-07-20 10:38:05; Identity=bob@corp.local; Device=LINUX-WS01; InternalIP=10.4.200.235; ExternalIP=204.154.173.125; Action=Allowed; Domain=secure.dzqyhlpm.dev; QType=CAA; RCode=REFUSED
Timestamp=2025-07-20 10:40:46; Identity=diana@example.com; Device=WIN11-LAPTOP01; InternalIP=10.116.252.23; ExternalIP=59.58.25.115; Action=Allowed; Domain=repo.shjxivbo.com; QType=TXT; RCode=FORMERR
Timestamp=2025-07-20 11:04:10; Identity=alice@example.com; Device=LINUX-WS01; InternalIP=10.223.63.183; ExternalIP=131.102.138.70; Action=Allowed; Domain=repo.jrwylhmora.biz; QType=PTR; RCode=REFUSED
Timestamp=2025-07-20 11:05:32; Identity=bob@example.com; Device=MACBOOK-PRO; InternalIP=10.196.21.137; ExternalIP=154.194.63.206; Action=Allowed; Domain=cdn.xdqjl.net; QType=MX; RCode=NXDOMAIN
Timestamp=2025-07-20 11:10:39; Identity=diana@corp.local; Device=MACBOOK-PRO; InternalIP=10.54.122.73; ExternalIP=93.235.69.38; Action=Allowed; Domain=mail.auzfiun.xyz; QType=AAAA; RCode=NOERROR
Timestamp=2025-07-20 11:24:16; Identity=bob@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.181.228.141; ExternalIP=111.35.115.247; Action=Blocked; Domain=updates.syfkxecnw.io; QType=MX; RCode=REFUSED
Timestamp=2025-07-20 11:31:08; Identity=bob@example.com; Device=MACBOOK-PRO; InternalIP=10.128.104.89; ExternalIP=182.221.90.214; Action=Blocked; Domain=auth.qzamsi.dev; QType=AAAA; RCode=REFUSED
Timestamp=2025-07-20 11:31:37; Identity=bob@example.com; Device=LINUX-WS01; InternalIP=10.231.53.10; ExternalIP=75.191.190.233; Action=Blocked; Domain=login.pkohkpiks.net; QType=SOA; RCode=NOERROR
Timestamp=2025-07-20 11:54:04; Identity=alice@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.177.245.120; ExternalIP=119.191.226.64; Action=Blocked; Domain=secure.gdseh.dev; QType=NS; RCode=REFUSED
Timestamp=2025-07-20 12:12:28; Identity=alice@example.com; Device=MACBOOK-PRO; InternalIP=10.128.17.140; ExternalIP=173.193.166.158; Action=Blocked; Domain=portal.lfbliegpl.com; QType=SOA; RCode=REFUSED
Timestamp=2025-07-20 12:15:37; Identity=bob@corp.local; Device=MACBOOK-PRO; InternalIP=10.162.206.166; ExternalIP=212.71.85.27; Action=Blocked; Domain=cdn.cfbyps.biz; QType=SRV; RCode=NOERROR
Timestamp=2025-07-20 12:24:57; Identity=charlie@example.com; Device=LINUX-WS01; InternalIP=10.69.177.84; ExternalIP=116.45.223.175; Action=Blocked; Domain=repo.gynjarmw.info; QType=A; RCode=NXDOMAIN
Timestamp=2025-07-20 12:28:36; Identity=diana@example.com; Device=MACBOOK-PRO; InternalIP=10.122.116.19; ExternalIP=210.172.65.210; Action=Blocked; Domain=vpn.hgdqjgqbsn.com; QType=TXT; RCode=REFUSED
Timestamp=2025-07-20 12:30:26; Identity=charlie@example.com; Device=LINUX-WS01; InternalIP=10.201.47.195; ExternalIP=223.189.31.157; Action=Blocked; Domain=repo.xsvnb.info; QType=SOA; RCode=SERVFAIL
Timestamp=2025-07-20 12:35:54; Identity=bob@example.com; Device=MACBOOK-PRO; InternalIP=10.204.2.143; ExternalIP=194.120.187.74; Action=Blocked; Domain=assets.qpvjc.co; QType=MX; RCode=SERVFAIL
Timestamp=2025-07-20 12:42:44; Identity=bob@corp.local; Device=MACBOOK-PRO; InternalIP=10.41.124.110; ExternalIP=123.243.150.15; Action=Blocked; Domain=cdn.fpeqkwn.io; QType=SRV; RCode=REFUSED
Timestamp=2025-07-20 12:52:22; Identity=charlie@corp.local; Device=MACBOOK-PRO; InternalIP=10.135.6.225; ExternalIP=191.52.200.162; Action=Allowed; Domain=secure.oikrb.dev; QType=MX; RCode=REFUSED
Timestamp=2025-07-20 12:52:43; Identity=alice@corp.local; Device=LINUX-WS01; InternalIP=10.119.185.239; ExternalIP=174.112.211.201; Action=Blocked; Domain=assets.ppetyuqr.co; QType=SOA; RCode=NOERROR
Timestamp=2025-07-20 12:54:38; Identity=diana@example.com; Device=MACBOOK-PRO; InternalIP=10.20.193.9; ExternalIP=154.227.106.171; Action=Blocked; Domain=api.uqotwacoar.co; QType=CAA; RCode=NOERROR
Timestamp=2025-07-20 13:03:57; Identity=diana@example.com; Device=MACBOOK-PRO; InternalIP=10.88.241.24; ExternalIP=86.183.147.117; Action=Blocked; Domain=updates.uzneo.xyz; QType=TXT; RCode=NXDOMAIN
Timestamp=2025-07-20 13:11:45; Identity=alice@corp.local; Device=MACBOOK-PRO; InternalIP=10.83.182.154; ExternalIP=178.58.45.124; Action=Blocked; Domain=status.fsepb.co; QType=SRV; RCode=FORMERR
Timestamp=2025-07-20 13:23:34; Identity=diana@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.60.196.101; ExternalIP=186.42.218.212; Action=Allowed; Domain=updates.tnptnnz.biz; QType=NS; RCode=NXDOMAIN
Timestamp=2025-07-20 13:40:44; Identity=bob@corp.local; Device=LINUX-WS01; InternalIP=10.91.180.72; ExternalIP=206.14.58.225; Action=Allowed; Domain=auth.ovfyu.net; QType=SRV; RCode=NOERROR
