Jul 19 23:28:22 postfix01 MTA[24308]: 3e72bw: from=<george.75@corporate.co>, to=<sara.92@mailbox.biz>, relay=mx.test.org [183.132.131.5], proto=ESMTP, delay=18.42, size=12359, nrcpts=1, msgid=<20250719232822.3e72bw@postfix01>, status=Rejected (553 Invalid recipient)
Jul 19 23:56:21 postfix01 MTA[10639]: lh2dgf: from=<zoe.98@partner.solutions>, to=<henry.99@researchlab.org>, relay=mx.securemail.gov [174.126.178.212], proto=SMTP, delay=16.06, size=11182, nrcpts=1, msgid=<20250719235621.lh2dgf@postfix01>, status=Bounced (552 Message too large)
Jul 19 23:59:34 mailgw1 MTA[95803]: df5cbb: from=<natalie.44@partner.solutions>, to=<david.46@test.org>, relay=mx1.fastmail.pro [220.3.157.167], proto=SMTP, delay=10.01, size=6559, nrcpts=1, msgid=<20250719235934.df5cbb@mailgw1>, status=Bounced (554 Transaction failed)
Jul 20 00:02:59 mailgw1 MTA[98788]: lgxedv: from=<chloe.62@alpha.tech>, to=<emma.47@cloudmail.ai>, relay=smtp1.alpha.tech [42.131.59.43], proto=ESMTP, delay=21.78, size=18170, nrcpts=2, msgid=<20250720000259.lgxedv@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 20 00:03:22 mailgw1 MTA[66121]: 0fxsf3: from=<zoe.20@mailservice.io>, to=<michael.55@cloudmail.ai>, relay=gw.researchlab.org [2.195.243.96], proto=ESMTP, delay=10.57, size=15795, nrcpts=1, msgid=<20250720000322.0fxsf3@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 20 00:04:07 aixhost MTA[32770]: xfuyr5: from=<michael.19@fastmail.pro>, to=<steven.77@mailbox.biz>, relay=smtp.banksecure.fin [191.180.242.175], proto=ESMTP, delay=12.23, size=3631, nrcpts=2, msgid=<20250720000407.xfuyr5@aixhost>, status=Deferred (451 Temporary local problem)
Jul 20 00:04:49 aixhost MTA[68519]: dbmflr: from=<eric.47@university.edu>, to=<susan.30@logistics.inc>, relay=relay.mailservice.io [114.31.99.101], proto=ESMTP, delay=27.49, size=1043, nrcpts=1, msgid=<20250720000449.dbmflr@aixhost>, status=Rejected (554 Relay access denied)
Jul 20 00:08:25 mailgw1 MTA[72324]: l7ialv: from=<oliver.65@mailservice.io>, to=<ryan.30@partner.solutions>, relay=relay.mailservice.io [103.118.239.98], proto=SMTP, delay=16.15, size=15738, nrcpts=1, msgid=<20250720000825.l7ialv@mailgw1>, status=Rejected (554 Relay access denied)
Jul 20 00:11:37 aixhost MTA[99067]: khi6t5: from=<alice.45@logistics.inc>, to=<linda.77@alpha.tech>, relay=outbound.university.edu [179.210.16.120], proto=ESMTP, delay=25.16, size=9130, nrcpts=2, msgid=<20250720001137.khi6t5@aixhost>, status=Sent (250 OK)
Jul 20 00:22:44 mailgw1 MTA[19819]: j12u5t: from=<henry.18@corporate.co>, to=<zoe.22@alpha.tech>, relay=mailrelay.example.net [167.34.68.186], proto=ESMTP, delay=4.26, size=16129, nrcpts=2, msgid=<20250720002244.j12u5t@mailgw1>, status=Bounced (550 User unknown)
Jul 20 00:23:06 aixhost MTA[20204]: 8uu18r: from=<jane.95@fastmail.pro>, to=<grace.80@banksecure.fin>, relay=relay.partner.solutions [179.94.179.104], proto=SMTP, delay=19.79, size=10917, nrcpts=2, msgid=<20250720002306.8uu18r@aixhost>, status=Rejected (550 Spam message blocked)
Jul 20 00:27:01 postfix01 MTA[64389]: sdkgf7: from=<bob.6@marketing.agency>, to=<grace.99@alpha.tech>, relay=smtp.company.net [215.79.15.60], proto=ESMTP, delay=20.86, size=14930, nrcpts=1, msgid=<20250720002701.sdkgf7@postfix01>, status=Rejected (553 Invalid recipient)
Jul 20 00:32:17 postfix01 MTA[72176]: adbbgt: from=<sara.94@marketing.agency>, to=<daniel.12@corporate.co>, relay=gw.researchlab.org [193.42.67.43], proto=SMTP, delay=12.95, size=12687, nrcpts=1, msgid=<20250720003217.adbbgt@postfix01>, status=Bounced (552 Message too large)
Jul 20 00:33:05 mailgw1 MTA[40796]: 8twfdr: from=<grace.1@researchlab.org>, to=<alice.24@marketing.agency>, relay=mx1.fastmail.pro [108.133.221.164], proto=SMTP, delay=12.45, size=11655, nrcpts=2, msgid=<20250720003305.8twfdr@mailgw1>, status=Bounced (554 Transaction failed)
Jul 20 00:36:04 mailgw1 MTA[17997]: fjb12t: from=<oliver.67@alpha.tech>, to=<ryan.12@logistics.inc>, relay=relay.mailservice.io [131.18.246.81], proto=SMTP, delay=6.37, size=10887, nrcpts=1, msgid=<20250720003604.fjb12t@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 20 00:37:44 mailgw1 MTA[94816]: amyyu6: from=<karen.18@securemail.gov>, to=<kevin.33@alpha.tech>, relay=mailrelay.example.net [6.189.202.120], proto=ESMTP, delay=25.58, size=5578, nrcpts=2, msgid=<20250720003744.amyyu6@mailgw1>, status=Bounced (552 Message too large)
Jul 20 00:38:28 mailgw1 MTA[45370]: eee1m5: from=<ryan.18@banksecure.fin>, to=<sophia.50@banksecure.fin>, relay=smtp.banksecure.fin [36.83.98.58], proto=ESMTP, delay=12.85, size=1391, nrcpts=1, msgid=<20250720003828.eee1m5@mailgw1>, status=Sent (250 OK)
Jul 20 00:38:54 mailgw1 MTA[28248]: 7uusa7: from=<mia.49@fastmail.pro>, to=<susan.50@securemail.gov>, relay=relay.corporate.co [145.175.100.246], proto=SMTP, delay=8.81, size=16403, nrcpts=1, msgid=<20250720003854.7uusa7@mailgw1>, status=Bounced (552 Message too large)
Jul 20 00:38:55 postfix01 MTA[58237]: ukt849: from=<brian.40@banksecure.fin>, to=<sophia.32@fastmail.pro>, relay=relay.partner.solutions [19.179.127.40], proto=ESMTP, delay=10.87, size=4251, nrcpts=1, msgid=<20250720003855.ukt849@postfix01>, status=Rejected (554 Relay access denied)
Jul 20 00:40:06 mailgw1 MTA[54224]: 5jg0u6: from=<hannah.91@mailbox.biz>, to=<sophia.27@securemail.gov>, relay=mail.logistics.inc [190.165.57.254], proto=ESMTP, delay=29.04, size=16650, nrcpts=1, msgid=<20250720004006.5jg0u6@mailgw1>, status=Deferred (451 Temporary local problem)
Jul 20 00:40:51 postfix01 MTA[93749]: 28nxkl: from=<sophia.45@company.net>, to=<emma.19@corporate.co>, relay=mx1.fastmail.pro [8.45.231.156], proto=SMTP, delay=27.66, size=17979, nrcpts=2, msgid=<20250720004051.28nxkl@postfix01>, status=Rejected (553 Invalid recipient)
Jul 20 00:42:54 aixhost MTA[82215]: 62phf7: from=<george.9@banksecure.fin>, to=<grace.47@example.com>, relay=mx.test.org [196.204.4.117], proto=SMTP, delay=21.46, size=4505, nrcpts=2, msgid=<20250720004254.62phf7@aixhost>, status=Bounced (554 Transaction failed)
Jul 20 00:45:14 aixhost MTA[43008]: vrn45x: from=<oliver.42@marketing.agency>, to=<henry.44@mailservice.io>, relay=mail.logistics.inc [55.56.233.44], proto=ESMTP, delay=3.77, size=11704, nrcpts=2, msgid=<20250720004514.vrn45x@aixhost>, status=Sent (250 Message queued)
Jul 20 00:47:31 aixhost MTA[30817]: ovevf3: from=<john.92@securemail.gov>, to=<adam.14@company.net>, relay=smtp.marketing.agency [30.64.173.61], proto=SMTP, delay=10.19, size=4630, nrcpts=2, msgid=<20250720004731.ovevf3@aixhost>, status=Bounced (550 User unknown)
Jul 20 00:48:39 postfix01 MTA[64173]: m3ypt9: from=<lucy.53@marketing.agency>, to=<justin.12@test.org>, relay=relay.partner.solutions [104.225.233.190], proto=ESMTP, delay=24.39, size=18538, nrcpts=1, msgid=<20250720004839.m3ypt9@postfix01>, status=Sent (250 Message queued)
Jul 20 00:48:46 aixhost MTA[93827]: k55q06: from=<brian.77@test.org>, to=<andrew.30@corporate.co>, relay=smtp.banksecure.fin [95.222.38.154], proto=ESMTP, delay=8.96, size=3810, nrcpts=2, msgid=<20250720004846.k55q06@aixhost>, status=Deferred (450 Timeout)
Jul 20 00:48:50 postfix01 MTA[75388]: nugzzl: from=<henry.86@corporate.co>, to=<nora.67@cloudmail.ai>, relay=relay.mailbox.biz [58.11.222.124], proto=SMTP, delay=28.26, size=10749, nrcpts=1, msgid=<20250720004850.nugzzl@postfix01>, status=Bounced (552 Message too large)
Jul 20 00:50:11 mailgw1 MTA[16952]: dbem4f: from=<kevin.88@cloudmail.ai>, to=<ryan.77@cloudmail.ai>, relay=mx.securemail.gov [16.68.169.56], proto=ESMTP, delay=20.07, size=7065, nrcpts=1, msgid=<20250720005011.dbem4f@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 20 00:51:03 aixhost MTA[78022]: wefhkz: from=<linda.89@marketing.agency>, to=<michael.40@example.com>, relay=mailrelay.example.net [188.4.14.210], proto=ESMTP, delay=8.94, size=15082, nrcpts=2, msgid=<20250720005103.wefhkz@aixhost>, status=Deferred (451 Temporary local problem)
Jul 20 00:57:21 aixhost MTA[35070]: 5x795e: from=<nora.87@mailservice.io>, to=<brian.30@example.com>, relay=mailrelay.example.net [172.17.113.130], proto=ESMTP, delay=14.74, size=13043, nrcpts=1, msgid=<20250720005721.5x795e@aixhost>, status=Deferred (450 Timeout)
Jul 20 01:02:23 postfix01 MTA[61180]: lf5klr: from=<grace.40@alpha.tech>, to=<bella.36@example.com>, relay=smtp1.alpha.tech [161.193.5.217], proto=SMTP, delay=8.78, size=13633, nrcpts=1, msgid=<20250720010223.lf5klr@postfix01>, status=Bounced (554 Transaction failed)
Jul 20 01:05:27 mailgw1 MTA[93929]: xaa9g0: from=<emma.82@cloudmail.ai>, to=<steven.8@alpha.tech>, relay=mx1.fastmail.pro [220.106.255.210], proto=ESMTP, delay=15.02, size=19801, nrcpts=2, msgid=<20250720010527.xaa9g0@mailgw1>, status=Sent (250 OK)
Jul 20 01:07:51 postfix01 MTA[38009]: oxdkdr: from=<olivia.86@mailbox.biz>, to=<susan.3@university.edu>, relay=smtp.marketing.agency [115.126.130.217], proto=ESMTP, delay=2.33, size=7234, nrcpts=1, msgid=<20250720010751.oxdkdr@postfix01>, status=Deferred (450 Timeout)
Jul 20 01:10:36 mailgw1 MTA[93735]: thnepw: from=<lucy.36@mailbox.biz>, to=<daniel.14@example.com>, relay=mx.securemail.gov [19.98.11.232], proto=ESMTP, delay=10.3, size=15203, nrcpts=1, msgid=<20250720011036.thnepw@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 20 01:16:29 postfix01 MTA[12087]: ekj65p: from=<brian.80@banksecure.fin>, to=<david.26@cloudmail.ai>, relay=smtp.banksecure.fin [90.172.224.230], proto=ESMTP, delay=28.82, size=11476, nrcpts=1, msgid=<20250720011629.ekj65p@postfix01>, status=Rejected (553 Invalid recipient)
Jul 20 01:23:20 aixhost MTA[32306]: pav7v3: from=<zoe.98@partner.solutions>, to=<brian.91@company.net>, relay=relay.corporate.co [29.222.184.42], proto=SMTP, delay=20.18, size=12271, nrcpts=2, msgid=<20250720012320.pav7v3@aixhost>, status=Rejected (550 Spam message blocked)
Jul 20 01:25:16 postfix01 MTA[48118]: wf0z15: from=<brian.38@researchlab.org>, to=<mia.65@researchlab.org>, relay=smtp1.alpha.tech [118.219.226.139], proto=SMTP, delay=23.55, size=18090, nrcpts=1, msgid=<20250720012516.wf0z15@postfix01>, status=Bounced (552 Message too large)
Jul 20 01:25:31 aixhost MTA[98629]: 26bep0: from=<oliver.44@mailbox.biz>, to=<john.65@fastmail.pro>, relay=smtp.marketing.agency [15.187.64.46], proto=ESMTP, delay=3.94, size=3606, nrcpts=1, msgid=<20250720012531.26bep0@aixhost>, status=Rejected (554 Relay access denied)
Jul 20 01:28:34 postfix01 MTA[55856]: wx8hgv: from=<george.55@mailbox.biz>, to=<chloe.12@test.org>, relay=mail.logistics.inc [219.227.174.71], proto=ESMTP, delay=10.64, size=18598, nrcpts=1, msgid=<20250720012834.wx8hgv@postfix01>, status=Sent (250 Message queued)
Jul 20 01:29:11 mailgw1 MTA[37395]: 9s2ecn: from=<lucy.97@company.net>, to=<jane.32@alpha.tech>, relay=mx1.fastmail.pro [4.175.56.79], proto=ESMTP, delay=14.66, size=11774, nrcpts=1, msgid=<20250720012911.9s2ecn@mailgw1>, status=Sent (250 Message queued)
Jul 20 01:31:33 postfix01 MTA[10183]: 8o2858: from=<jane.29@company.net>, to=<justin.99@cloudmail.ai>, relay=gw.researchlab.org [145.60.48.3], proto=ESMTP, delay=21.97, size=14984, nrcpts=1, msgid=<20250720013133.8o2858@postfix01>, status=Sent (250 OK)
Jul 20 01:34:58 aixhost MTA[84051]: aphkt2: from=<mark.61@partner.solutions>, to=<charles.63@test.org>, relay=smtp.company.net [13.216.185.50], proto=ESMTP, delay=2.28, size=10550, nrcpts=1, msgid=<20250720013458.aphkt2@aixhost>, status=Deferred (451 Temporary local problem)
Jul 20 01:35:03 mailgw1 MTA[27938]: pvsnrj: from=<bella.9@researchlab.org>, to=<nora.87@researchlab.org>, relay=gw.researchlab.org [73.217.88.243], proto=SMTP, delay=14.91, size=4387, nrcpts=2, msgid=<20250720013503.pvsnrj@mailgw1>, status=Rejected (554 Relay access denied)
Jul 20 01:39:19 postfix01 MTA[96298]: sd5687: from=<nora.94@logistics.inc>, to=<mia.41@alpha.tech>, relay=relay.mailbox.biz [71.43.127.142], proto=SMTP, delay=23.59, size=1778, nrcpts=1, msgid=<20250720013919.sd5687@postfix01>, status=Rejected (550 Spam message blocked)
Jul 20 01:42:41 postfix01 MTA[94550]: cyi9kf: from=<jane.81@cloudmail.ai>, to=<eric.75@banksecure.fin>, relay=outbound.university.edu [187.41.240.203], proto=ESMTP, delay=5.86, size=13617, nrcpts=1, msgid=<20250720014241.cyi9kf@postfix01>, status=Rejected (550 Spam message blocked)
Jul 20 01:43:34 aixhost MTA[89396]: 34an07: from=<olivia.81@securemail.gov>, to=<zoe.56@logistics.inc>, relay=smtp1.alpha.tech [146.75.162.18], proto=SMTP, delay=10.65, size=2941, nrcpts=1, msgid=<20250720014334.34an07@aixhost>, status=Rejected (553 Invalid recipient)
Jul 20 01:49:44 postfix01 MTA[39066]: v79kz6: from=<andrew.62@mailbox.biz>, to=<oliver.49@mailservice.io>, relay=smtp.banksecure.fin [160.216.129.14], proto=ESMTP, delay=11.27, size=19076, nrcpts=2, msgid=<20250720014944.v79kz6@postfix01>, status=Deferred (450 Timeout)
Jul 20 01:53:33 mailgw1 MTA[15708]: uc0yak: from=<emma.21@banksecure.fin>, to=<grace.46@researchlab.org>, relay=mail.logistics.inc [20.207.186.251], proto=ESMTP, delay=16.16, size=2643, nrcpts=1, msgid=<20250720015333.uc0yak@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 20 02:02:46 postfix01 MTA[58540]: cdczz6: from=<luke.17@banksecure.fin>, to=<charles.52@corporate.co>, relay=smtp1.alpha.tech [172.23.248.7], proto=ESMTP, delay=17.68, size=15251, nrcpts=1, msgid=<20250720020246.cdczz6@postfix01>, status=Deferred (451 Temporary local problem)
Jul 20 02:06:41 aixhost MTA[77000]: yejvs2: from=<kevin.12@example.com>, to=<ryan.30@example.com>, relay=mailrelay.example.net [48.84.48.56], proto=ESMTP, delay=21.42, size=10667, nrcpts=1, msgid=<20250720020641.yejvs2@aixhost>, status=Deferred (450 Timeout)
Jul 20 02:08:30 aixhost MTA[85431]: il88sz: from=<steven.20@banksecure.fin>, to=<andrew.83@mailbox.biz>, relay=gw.researchlab.org [157.139.10.115], proto=ESMTP, delay=24.78, size=4078, nrcpts=2, msgid=<20250720020830.il88sz@aixhost>, status=Bounced (552 Message too large)
Jul 20 02:09:57 mailgw1 MTA[41991]: sdn94o: from=<michael.52@university.edu>, to=<brian.46@logistics.inc>, relay=smtp.cloudmail.ai [64.148.118.98], proto=SMTP, delay=28.86, size=19358, nrcpts=1, msgid=<20250720020957.sdn94o@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 20 02:10:47 postfix01 MTA[26929]: nvc9hr: from=<natalie.52@example.com>, to=<steven.35@researchlab.org>, relay=mx1.fastmail.pro [197.120.57.201], proto=SMTP, delay=13.67, size=19377, nrcpts=1, msgid=<20250720021047.nvc9hr@postfix01>, status=Bounced (554 Transaction failed)
Jul 20 02:13:38 postfix01 MTA[28973]: 0fn543: from=<susan.36@company.net>, to=<michael.1@mailbox.biz>, relay=smtp1.alpha.tech [146.81.210.85], proto=ESMTP, delay=25.49, size=14075, nrcpts=1, msgid=<20250720021338.0fn543@postfix01>, status=Sent (250 Message queued)
Jul 20 02:19:53 postfix01 MTA[35738]: cbjb2a: from=<james.72@mailbox.biz>, to=<emily.35@cloudmail.ai>, relay=smtp.company.net [197.254.86.57], proto=SMTP, delay=13.42, size=11885, nrcpts=2, msgid=<20250720021953.cbjb2a@postfix01>, status=Bounced (552 Message too large)
Jul 20 02:21:06 mailgw1 MTA[45211]: q2u56k: from=<jane.65@marketing.agency>, to=<eric.67@banksecure.fin>, relay=mx.securemail.gov [127.194.93.193], proto=ESMTP, delay=25.99, size=14096, nrcpts=1, msgid=<20250720022106.q2u56k@mailgw1>, status=Sent (250 Message queued)
Jul 20 02:23:25 mailgw1 MTA[74728]: mm53ml: from=<michael.94@partner.solutions>, to=<alice.79@test.org>, relay=smtp1.alpha.tech [191.17.112.55], proto=SMTP, delay=28.44, size=2891, nrcpts=1, msgid=<20250720022325.mm53ml@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 20 02:23:38 postfix01 MTA[21824]: 5qr0yz: from=<ava.78@mailservice.io>, to=<lucy.66@mailservice.io>, relay=mx1.fastmail.pro [124.50.136.61], proto=SMTP, delay=29.2, size=4416, nrcpts=1, msgid=<20250720022338.5qr0yz@postfix01>, status=Bounced (554 Transaction failed)
Jul 20 02:23:50 postfix01 MTA[91909]: dt0rcc: from=<john.99@partner.solutions>, to=<sara.14@marketing.agency>, relay=outbound.university.edu [223.240.136.136], proto=SMTP, delay=5.02, size=18841, nrcpts=1, msgid=<20250720022350.dt0rcc@postfix01>, status=Bounced (550 User unknown)
Jul 20 02:27:37 postfix01 MTA[36955]: 63t62v: from=<lucy.81@marketing.agency>, to=<olivia.49@securemail.gov>, relay=mx.securemail.gov [194.49.70.36], proto=ESMTP, delay=2.67, size=10611, nrcpts=1, msgid=<20250720022737.63t62v@postfix01>, status=Deferred (450 Timeout)
Jul 20 02:29:59 mailgw1 MTA[65453]: rsb94n: from=<ava.51@test.org>, to=<olivia.41@corporate.co>, relay=gw.researchlab.org [50.16.210.185], proto=ESMTP, delay=11.17, size=14362, nrcpts=2, msgid=<20250720022959.rsb94n@mailgw1>, status=Bounced (552 Message too large)
Jul 20 02:31:05 mailgw1 MTA[50924]: w8gyqf: from=<jane.78@partner.solutions>, to=<hannah.43@corporate.co>, relay=smtp.cloudmail.ai [32.228.104.180], proto=SMTP, delay=27.46, size=3690, nrcpts=1, msgid=<20250720023105.w8gyqf@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 20 02:32:04 mailgw1 MTA[64898]: 9am460: from=<eric.40@marketing.agency>, to=<bob.49@marketing.agency>, relay=mx.test.org [190.30.93.222], proto=ESMTP, delay=26.84, size=10605, nrcpts=1, msgid=<20250720023204.9am460@mailgw1>, status=Deferred (451 Temporary local problem)
Jul 20 02:34:01 aixhost MTA[89716]: t7qvzx: from=<jane.59@banksecure.fin>, to=<luke.6@university.edu>, relay=smtp1.alpha.tech [83.163.10.240], proto=ESMTP, delay=16.16, size=12696, nrcpts=1, msgid=<20250720023401.t7qvzx@aixhost>, status=Bounced (554 Transaction failed)
Jul 20 02:42:52 aixhost MTA[22006]: 0fux1m: from=<ava.47@university.edu>, to=<ryan.60@securemail.gov>, relay=mx.test.org [197.36.99.19], proto=ESMTP, delay=18.31, size=6599, nrcpts=2, msgid=<20250720024252.0fux1m@aixhost>, status=Deferred (450 Timeout)
Jul 20 02:44:48 postfix01 MTA[33488]: pxkrj8: from=<natalie.98@partner.solutions>, to=<andrew.83@example.com>, relay=smtp1.alpha.tech [222.219.101.63], proto=ESMTP, delay=11.8, size=9527, nrcpts=1, msgid=<20250720024448.pxkrj8@postfix01>, status=Deferred (450 Timeout)
Jul 20 02:46:29 postfix01 MTA[93066]: 1zggdp: from=<chloe.95@marketing.agency>, to=<justin.76@banksecure.fin>, relay=mail.logistics.inc [195.215.183.82], proto=ESMTP, delay=3.24, size=11613, nrcpts=1, msgid=<20250720024629.1zggdp@postfix01>, status=Deferred (450 Timeout)
Jul 20 02:48:06 mailgw1 MTA[63748]: rqrai5: from=<chloe.34@alpha.tech>, to=<justin.88@university.edu>, relay=mailrelay.example.net [40.139.179.112], proto=ESMTP, delay=14.3, size=7262, nrcpts=1, msgid=<20250720024806.rqrai5@mailgw1>, status=Rejected (554 Relay access denied)
Jul 20 02:50:36 aixhost MTA[51926]: epx2xt: from=<luke.37@alpha.tech>, to=<hannah.81@marketing.agency>, relay=smtp.banksecure.fin [71.104.181.250], proto=ESMTP, delay=12.31, size=15629, nrcpts=2, msgid=<20250720025036.epx2xt@aixhost>, status=Sent (250 Message queued)
Jul 20 02:52:18 postfix01 MTA[76683]: dum5dv: from=<andrew.88@cloudmail.ai>, to=<emily.95@mailservice.io>, relay=mail.logistics.inc [127.51.148.209], proto=ESMTP, delay=19.09, size=993, nrcpts=1, msgid=<20250720025218.dum5dv@postfix01>, status=Rejected (553 Invalid recipient)
Jul 20 02:58:36 mailgw1 MTA[97205]: 4wftk8: from=<brian.6@fastmail.pro>, to=<lucy.10@banksecure.fin>, relay=mx.securemail.gov [10.65.56.103], proto=ESMTP, delay=4.87, size=17319, nrcpts=1, msgid=<20250720025836.4wftk8@mailgw1>, status=Bounced (552 Message too large)
Jul 20 03:03:35 aixhost MTA[97319]: 4e100u: from=<justin.61@mailbox.biz>, to=<justin.69@researchlab.org>, relay=smtp.banksecure.fin [222.115.222.76], proto=ESMTP, delay=25.55, size=17032, nrcpts=1, msgid=<20250720030335.4e100u@aixhost>, status=Deferred (451 Temporary local problem)
Jul 20 03:05:22 mailgw1 MTA[68977]: cs0668: from=<laura.62@university.edu>, to=<hannah.29@cloudmail.ai>, relay=smtp.banksecure.fin [202.238.155.87], proto=SMTP, delay=27.3, size=2250, nrcpts=1, msgid=<20250720030522.cs0668@mailgw1>, status=Bounced (552 Message too large)
Jul 20 03:06:34 mailgw1 MTA[72294]: nrcv4y: from=<linda.37@cloudmail.ai>, to=<emily.74@logistics.inc>, relay=relay.mailbox.biz [160.47.48.152], proto=SMTP, delay=2.95, size=18301, nrcpts=1, msgid=<20250720030634.nrcv4y@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 20 03:06:36 mailgw1 MTA[50876]: fqy9r0: from=<emily.68@mailbox.biz>, to=<michael.37@banksecure.fin>, relay=mx.test.org [194.228.85.233], proto=SMTP, delay=13.21, size=1639, nrcpts=2, msgid=<20250720030636.fqy9r0@mailgw1>, status=Bounced (554 Transaction failed)
Jul 20 03:09:51 aixhost MTA[14360]: 1uhydu: from=<zoe.50@mailservice.io>, to=<karen.24@cloudmail.ai>, relay=smtp.banksecure.fin [24.231.112.229], proto=SMTP, delay=10.41, size=14711, nrcpts=1, msgid=<20250720030951.1uhydu@aixhost>, status=Rejected (553 Invalid recipient)
Jul 20 03:12:33 postfix01 MTA[97882]: 9th5c3: from=<zoe.37@securemail.gov>, to=<laura.65@mailservice.io>, relay=relay.mailservice.io [67.99.57.115], proto=ESMTP, delay=20.96, size=3042, nrcpts=1, msgid=<20250720031233.9th5c3@postfix01>, status=Sent (250 OK)
Jul 20 03:18:15 postfix01 MTA[44209]: ynofxm: from=<john.76@partner.solutions>, to=<george.44@company.net>, relay=mx.test.org [17.45.154.218], proto=ESMTP, delay=18.83, size=14459, nrcpts=1, msgid=<20250720031815.ynofxm@postfix01>, status=Rejected (553 Invalid recipient)
Jul 20 03:26:25 aixhost MTA[77042]: blb7be: from=<sara.2@securemail.gov>, to=<steven.90@logistics.inc>, relay=smtp1.alpha.tech [127.193.124.83], proto=ESMTP, delay=26.72, size=10522, nrcpts=1, msgid=<20250720032625.blb7be@aixhost>, status=Deferred (450 Timeout)
Jul 20 03:27:20 mailgw1 MTA[26316]: giry9u: from=<sophia.2@mailservice.io>, to=<olivia.97@fastmail.pro>, relay=smtp1.alpha.tech [26.220.76.214], proto=SMTP, delay=16.37, size=18451, nrcpts=1, msgid=<20250720032720.giry9u@mailgw1>, status=Bounced (552 Message too large)
